freq_kHz,level_dBuV
163.565,6.05
163.664,7.38
163.764,6.15
163.863,6.00
163.963,6.15
164.063,7.04
164.162,6.34
164.262,7.38
164.361,6.00
164.461,6.00
164.56,6.00
164.66,6.00
164.759,7.24
164.859,6.00
164.958,6.52
165.058,7.39
165.158,6.43
165.257,7.30
165.357,6.00
165.456,6.00
165.556,6.00
165.655,6.00
165.755,6.00
165.854,6.06
165.954,6.00
166.054,6.00
166.153,6.68
166.253,7.31
166.352,6.00
166.452,6.02
166.551,8.34
166.651,7.77
166.75,6.00
166.85,6.10
166.949,7.36
167.049,6.00
167.149,6.00
167.248,6.22
167.348,7.17
167.447,6.10
167.547,6.00
167.646,6.00
167.746,6.00
167.845,6.74
167.945,6.04
168.045,6.21
168.144,6.00
168.244,7.07
168.343,8.42
168.443,7.27
168.542,7.86
168.642,6.00
168.741,6.00
168.841,6.94
168.94,6.00
169.04,6.89
169.14,7.06
169.239,6.00
169.339,7.16
169.438,6.30
169.538,6.00
169.637,6.00
169.737,7.38
169.836,6.00
169.936,6.00
170.036,6.08
170.135,6.88
170.235,6.00
170.334,6.00
170.434,7.34
170.533,6.00
170.633,6.00
170.732,7.01
170.832,6.00
170.931,7.35
171.031,6.41
171.131,7.28
171.23,6.18
171.33,6.00
171.429,6.00
171.529,6.00
171.628,6.00
171.728,6.26
171.827,6.00
171.927,6.00
172.027,6.16
172.126,6.00
172.226,6.38
172.325,6.43
172.425,6.00
172.524,6.00
172.624,7.50
172.723,6.74
172.823,9.55
172.922,7.75
173.022,6.07
173.122,7.25
173.221,6.00
173.321,6.00
173.42,6.62
173.52,6.00
173.619,7.54
173.719,6.41
173.818,6.65
173.918,6.00
174.018,6.02
174.117,6.00
174.217,7.18
174.316,8.37
174.416,6.00
174.515,6.00
174.615,6.00
174.714,6.74
174.814,6.00
174.913,6.00
175.013,7.96
175.113,6.97
175.212,6.90
175.312,7.15
175.411,6.64
175.511,9.43
175.61,6.00
175.71,6.00
175.809,6.00
175.909,6.85
176.009,6.00
176.108,6.00
176.208,6.00
176.307,6.00
176.407,6.65
176.506,6.50
176.606,6.72
176.705,6.00
176.805,6.49
176.904,6.00
177.004,6.70
177.104,6.00
177.203,6.49
177.303,6.00
177.402,7.49
177.502,6.00
177.601,6.00
177.701,6.00
177.8,6.00
177.9,6.00
177.999,7.07
178.099,6.00
178.199,8.00
178.298,6.00
178.398,6.00
178.497,6.00
178.597,6.27
178.696,6.00
178.796,6.00
178.895,6.00
178.995,6.94
179.095,6.02
179.194,6.10
179.294,6.00
179.393,6.00
179.493,7.12
179.592,6.52
179.692,6.99
179.791,8.32
179.891,8.09
179.99,6.14
180.09,8.53
180.19,6.00
180.289,6.38
180.389,6.00
180.488,6.86
180.588,6.00
180.687,6.00
180.787,6.00
180.886,6.00
180.986,7.14
181.086,6.06
181.185,6.00
181.285,6.00
181.384,6.00
181.484,6.00
181.583,7.78
181.683,6.00
181.782,6.35
181.882,7.31
181.981,8.26
182.081,6.00
182.181,6.00
182.28,7.03
182.38,6.00
182.479,6.49
182.579,7.93
182.678,6.42
182.778,6.83
182.877,6.88
182.977,6.00
183.077,6.00
183.176,6.00
183.276,6.54
183.375,6.88
183.475,6.99
183.574,6.79
183.674,6.00
183.773,6.16
183.873,6.99
183.972,6.09
184.072,7.82
184.172,6.41
184.271,6.00
184.371,6.95
184.47,6.00
184.57,6.00
184.669,7.19
184.769,6.00
184.868,6.53
184.968,6.00
185.068,7.96
185.167,8.82
185.267,6.00
185.366,6.00
185.466,6.00
185.565,6.66
185.665,6.00
185.764,6.36
185.864,6.00
185.963,7.83
186.063,6.00
186.163,6.84
186.262,6.59
186.362,6.00
186.461,7.20
186.561,6.95
186.66,6.00
186.76,7.28
186.859,7.57
186.959,6.37
187.059,6.00
187.158,6.00
187.258,6.31
187.357,6.00
187.457,6.00
187.556,8.03
187.656,7.24
187.755,6.00
187.855,6.49
187.954,6.68
188.054,6.00
188.154,6.11
188.253,6.00
188.353,6.00
188.452,6.00
188.552,8.79
188.651,6.00
188.751,6.00
188.85,6.29
188.95,6.37
189.05,6.02
189.149,6.00
189.249,6.00
189.348,6.00
189.448,6.00
189.547,6.68
189.647,8.52
189.746,6.00
189.846,6.00
189.945,6.00
190.045,6.00
190.145,7.44
190.244,6.99
190.344,7.67
190.443,6.00
190.543,6.00
190.642,6.00
190.742,8.02
190.841,7.71
190.941,6.00
191.041,6.30
191.14,6.59
191.24,7.08
191.339,7.62
191.439,6.69
191.538,6.44
191.638,6.68
191.737,6.64
191.837,6.00
191.936,6.11
192.036,6.12
192.136,6.00
192.235,8.31
192.335,6.00
192.434,7.06
192.534,6.90
192.633,6.00
192.733,6.60
192.832,6.00
192.932,6.00
193.032,6.00
193.131,6.61
193.231,6.00
193.33,6.86
193.43,6.00
193.529,8.17
193.629,6.14
193.728,6.58
193.828,6.58
193.927,6.00
194.027,7.33
194.127,6.00
194.226,7.42
194.326,6.00
194.425,6.00
194.525,6.00
194.624,6.00
194.724,6.56
194.823,7.25
194.923,6.83
195.023,6.13
195.122,7.00
195.222,6.00
195.321,7.60
195.421,6.17
195.52,6.85
195.62,8.60
195.719,6.00
195.819,6.46
195.918,6.00
196.018,6.60
196.118,7.12
196.217,6.09
196.317,7.46
196.416,7.66
196.516,6.00
196.615,7.23
196.715,6.00
196.814,6.00
196.914,6.48
197.014,6.00
197.113,6.94
197.213,6.51
197.312,6.70
197.412,6.01
197.511,6.00
197.611,7.00
197.71,6.55
197.81,6.00
197.909,6.00
198.009,6.00
198.109,6.00
198.208,6.45
198.308,6.00
198.407,6.00
198.507,6.00
198.606,6.15
198.706,6.00
198.805,6.49
198.905,6.00
199.005,7.08
199.104,6.03
199.204,6.00
199.303,8.03
199.403,7.35
199.502,6.78
199.602,6.00
199.701,6.00
199.801,7.04
199.9,6.00
200,6.00
